config,model,scheme,fold,criterion,rule,test_recorded_hours,threshold,tuning_sens,tuning_fa,criterion_met_on_tuning,test_sens,test_fa,test_tp,test_fp,test_ref_true,criterion_met_on_test
Full-18,lr,loo,chb14,realtime_alert,ali,26.0,,,,False,,,,,,False
Full-18,lr,loo,chb06,medication_titration,szcore,58.733333333333334,,,,False,,,,,,False
Full-18,lr,loo,chb06,medication_titration,ali,58.733333333333334,0.97,0.0,3.284338570704511,False,0.0,19.20544835414302,0.0,47.0,8.0,False
Full-18,lr,loo,chb06,realtime_alert,szcore,58.733333333333334,,,,False,,,,,,False
Full-18,lr,loo,chb06,realtime_alert,ali,58.733333333333334,0.99,0.0,1.0947795235681703,False,0.0,4.086265607264472,0.0,10.0,8.0,False
Full-18,lr,loo,chb03,medication_titration,szcore,37.00111111111111,,,,False,,,,,,False
Full-18,lr,loo,chb03,medication_titration,ali,37.00111111111111,,,,False,,,,,,False
Full-18,lr,loo,chb03,realtime_alert,szcore,37.00111111111111,,,,False,,,,,,False
Full-18,lr,loo,chb03,realtime_alert,ali,37.00111111111111,,,,False,,,,,,False
Full-18,lr,loo,chb12,medication_titration,szcore,20.685555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb12,medication_titration,ali,20.685555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb12,realtime_alert,szcore,20.685555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb12,realtime_alert,ali,20.685555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb22,medication_titration,szcore,30.002222222222223,,,,False,,,,,,False
Full-18,lr,loo,chb22,medication_titration,ali,30.002222222222223,,,,False,,,,,,False
Full-18,lr,loo,chb22,realtime_alert,szcore,30.002222222222223,,,,False,,,,,,False
Full-18,lr,loo,chb22,realtime_alert,ali,30.002222222222223,,,,False,,,,,,False
Full-18,lr,loo,chb04,medication_titration,szcore,146.6211111111111,,,,False,,,,,,False
Full-18,lr,loo,chb04,medication_titration,ali,146.6211111111111,,,,False,,,,,,False
Full-18,lr,loo,chb04,realtime_alert,szcore,146.6211111111111,,,,False,,,,,,False
Full-18,lr,loo,chb04,realtime_alert,ali,146.6211111111111,,,,False,,,,,,False
Full-18,lr,loo,chb05,medication_titration,szcore,38.00222222222222,0.98,0.46153846153846156,4.742249934135418,False,1.0,109.2567686100228,5.0,173.0,5.0,False
Full-18,lr,loo,chb05,medication_titration,ali,38.00222222222222,0.95,0.0,4.109949942917362,False,0.6,250.72217998947428,3.0,397.0,5.0,False
Full-18,lr,loo,chb05,realtime_alert,szcore,38.00222222222222,,,,False,,,,,,False
Full-18,lr,loo,chb05,realtime_alert,ali,38.00222222222222,0.98,0.0,1.8968999736541672,False,0.4,109.88831062510964,2.0,174.0,5.0,False
Full-18,lr,loo,chb19,medication_titration,szcore,28.92888888888889,,,,False,,,,,,False
Full-18,lr,loo,chb19,medication_titration,ali,28.92888888888889,,,,False,,,,,,False
Full-18,lr,loo,chb19,realtime_alert,szcore,28.92888888888889,,,,False,,,,,,False
Full-18,lr,loo,chb19,realtime_alert,ali,28.92888888888889,,,,False,,,,,,False
Full-18,lr,loo,chb17,medication_titration,szcore,20.42888888888889,,,,False,,,,,,False
Full-18,lr,loo,chb17,medication_titration,ali,20.42888888888889,,,,False,,,,,,False
Full-18,lr,loo,chb17,realtime_alert,szcore,20.42888888888889,,,,False,,,,,,False
Full-18,lr,loo,chb17,realtime_alert,ali,20.42888888888889,,,,False,,,,,,False
Full-18,lr,loo,chb23,medication_titration,szcore,26.555555555555557,,,,False,,,,,,False
Full-18,lr,loo,chb23,medication_titration,ali,26.555555555555557,,,,False,,,,,,False
Full-18,lr,loo,chb23,realtime_alert,szcore,26.555555555555557,,,,False,,,,,,False
Full-18,lr,loo,chb23,realtime_alert,ali,26.555555555555557,,,,False,,,,,,False
Full-18,lr,loo,chb24,medication_titration,szcore,21.295555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb24,medication_titration,ali,21.295555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb24,realtime_alert,szcore,21.295555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb24,realtime_alert,ali,21.295555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb08,medication_titration,szcore,20.005555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb08,medication_titration,ali,20.005555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb08,realtime_alert,szcore,20.005555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb08,realtime_alert,ali,20.005555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb11,medication_titration,szcore,34.79222222222222,,,,False,,,,,,False
