config,model,scheme,criterion,n_subjects,n_hours,n_events_ref,macro_sensitivity,micro_sensitivity,micro_fa_per_day,pct_subjects_meeting_criterion,window_precision,window_recall,window_f1,window_specificity,window_tp,window_fp,window_tn,window_fn
Glass-4,mlp,5fold,realtime_alert,23,944.87,183,0.11358695652173913,0.07650273224043716,29.667433768390154,4.3478260869565215,0.04770017035775128,0.1826086956521739,0.07564160288158486,0.9881292124955906,504,10062,837565,2256
Glass-4,rf,5fold,realtime_alert,23,944.87,183,0.024456521739130436,0.01639344262295082,1.6002126090826883,0.0,0.2865090403337969,0.0746376811594203,0.11842483472262144,0.9993947809590775,206,513,847114,2554
Glass-7,baseline_always_seizure,5fold,medication_titration,23,916.87,179,1.0,1.0,283.4069935832571,0.0,0.003309560886346698,1.0,0.006597287647539122,0.0,2731,822454,0,0
Glass-7,baseline_always_seizure,loo,medication_titration,23,916.87,179,1.0,1.0,283.4069935832571,0.0,0.003309560886346698,1.0,0.006597287647539122,0.0,2731,822454,0,0
Glass-7,baseline_never_seizure,5fold,medication_titration,23,916.87,179,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,822454,2731
Glass-7,baseline_never_seizure,loo,medication_titration,23,916.87,179,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,822454,2731
Glass-7,lr,5fold,medication_titration,23,916.87,179,0.08152173913043478,0.061452513966480445,17.904348721801778,0.0,0.050920245398773004,0.15195898938117905,0.07627975369910853,0.9905952186991613,415,7735,814719,2316
Glass-7,lr,loo,medication_titration,23,916.87,179,0.22939958592132506,0.1340782122905028,7.721904784987609,8.695652173913043,0.21084529505582136,0.24203588429146833,0.22536651892260484,0.9969919290318973,661,2474,819980,2070
Glass-7,mlp,5fold,medication_titration,23,916.87,179,0.2710662525879917,0.1787709497206704,10.41802747262735,8.695652173913043,0.16600353669319187,0.2749908458440132,0.20702963473466576,0.9954125093926226,751,3773,818681,1980
Glass-7,mlp,loo,medication_titration,23,916.87,179,0.27349896480331265,0.2011173184357542,23.348945993928634,8.695652173913043,0.11138552729068905,0.330281948004394,0.1665897128082002,0.9912505745002153,902,7196,815258,1829
Glass-7,rf,5fold,medication_titration,23,916.87,179,0.2811335403726708,0.19553072625698323,6.203699776413774,8.695652173913043,0.3034188034188034,0.31197363603075795,0.3076367575374616,0.9976217514900529,852,1956,820498,1879
Glass-7,rf,loo,medication_titration,23,916.87,179,0.25137163561076603,0.15083798882681565,4.868726406805746,13.043478260869565,0.33948988566402816,0.2826803368729403,0.30849150849150847,0.9981737580460427,772,1502,820952,1959
Glass-7,baseline_always_seizure,5fold,realtime_alert,23,916.87,179,1.0,1.0,283.4069935832571,0.0,0.003309560886346698,1.0,0.006597287647539122,0.0,2731,822454,0,0
Glass-7,baseline_always_seizure,loo,realtime_alert,23,916.87,179,1.0,1.0,283.4069935832571,0.0,0.003309560886346698,1.0,0.006597287647539122,0.0,2731,822454,0,0
Glass-7,baseline_never_seizure,5fold,realtime_alert,23,916.87,179,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,822454,2731
Glass-7,baseline_never_seizure,loo,realtime_alert,23,916.87,179,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,822454,2731
Glass-7,lr,5fold,realtime_alert,23,916.87,179,0.08152173913043478,0.061452513966480445,16.80495888800693,0.0,0.03935154922212054,0.11021603808128891,0.05799614643545279,0.9910657617325711,301,7348,815106,2430
Glass-7,lr,loo,realtime_alert,23,916.87,179,0.1762939958592133,0.09497206703910614,6.5178111574980155,0.0,0.1800376647834275,0.17502746246796044,0.17749721500185667,0.9973530434528861,478,2177,820277,2253
Glass-7,mlp,5fold,realtime_alert,23,916.87,179,0.2124741200828157,0.1340782122905028,10.208619885237855,4.3478260869565215,0.16623005477494643,0.255584035151959,0.20144300144300148,0.9957432269768279,698,3501,818953,2033
Glass-7,mlp,loo,realtime_alert,23,916.87,179,0.25665113871635614,0.1787709497206704,22.64219538648909,0.0,0.10245741776101937,0.28853899670450384,0.1512185760890424,0.9916068254273187,788,6903,815551,1943
Glass-7,rf,5fold,realtime_alert,23,916.87,179,0.1535455486542443,0.1005586592178771,2.3558353581318126,4.3478260869565215,0.592814371257485,0.21750274624679605,0.3182427002410929,0.999503923623692,594,408,822046,2137
Glass-7,rf,loo,realtime_alert,23,916.87,179,0.12991718426501037,0.07262569832402235,2.486715100250247,0.0,0.42671292281006074,0.18015378982057853,0.2533470648815654,0.9991963076354422,492,661,821793,2239
