threshold,recorded_hours,tp_szcore,fp_szcore,ref_true_szcore,sens_szcore,fa_per_day_szcore,tp_ali,fp_ali,ref_true_ali,sens_ali,fa_per_day_ali,config,n_subjects
0.17556,916.8722222222223,154,7209,179,0.8603351955307262,188.7024121863582,87,9397,179,0.4860335195530726,245.97538733738494,Glass-7,23
0.20667,916.8722222222223,143,6309,179,0.7988826815642458,165.14405860504007,80,7921,179,0.44692737430167595,207.3396874640232,Glass-7,23
0.23778,916.8722222222223,128,5530,179,0.7150837988826816,144.75299478298805,76,6979,179,0.4245810055865922,182.68194404891022,Glass-7,23
0.26889,916.8722222222223,121,4902,179,0.6759776536312849,128.31449917291275,67,6238,179,0.3743016759776536,163.2855662669583,Glass-7,23
0.3,916.8722222222223,116,4421,179,0.6480446927374302,115.72386798111938,65,5558,179,0.36312849162011174,145.48592133885128,Glass-7,23
0.37143,916.8722222222223,111,3516,179,0.6201117318435754,92.03463465768282,59,3815,179,0.329608938547486,99.86124323636517,Glass-7,23
0.44286,916.8722222222223,100,2889,179,0.5586592178770949,75.62231499603119,55,2509,179,0.30726256983240224,65.6754545950302,Glass-7,23
0.51429,916.8722222222223,94,2340,179,0.5251396648044693,61.25171931142713,49,1658,179,0.2737430167597765,43.399722486472726,Glass-7,23
0.58571,916.8722222222223,86,1827,179,0.48044692737430167,47.8234577700758,36,1146,179,0.2011173184357542,29.99763689354508,Glass-7,23
0.65714,916.8722222222223,83,1331,179,0.46368715083798884,34.84018735192714,32,739,179,0.1787709497206704,19.34402588510455,Glass-7,23
0.72857,916.8722222222223,82,921,179,0.4581005586592179,24.10804849821555,28,482,179,0.1564245810055866,12.616807140217041,Glass-7,23
0.8,916.8722222222223,78,568,179,0.43575418994413406,14.867938704654108,24,275,179,0.1340782122905028,7.1983858165138725,Glass-7,23
0.85355,916.8722222222223,76,352,179,0.4245810055865922,9.213933845137756,20,128,179,0.11173184357541899,3.3505213982319115,Glass-7,23
0.89277,916.8722222222223,69,220,179,0.3854748603351955,5.758708653211098,18,61,179,0.1005586592178771,1.5967328538448953,Glass-7,23
0.92148,916.8722222222223,62,131,179,0.3463687150837989,3.429049243502972,14,51,179,0.0782122905027933,1.3349733696080273,Glass-7,23
0.94251,916.8722222222223,60,79,179,0.33519553072625696,2.067899925471258,12,41,179,0.0670391061452514,1.0732138853711592,Glass-7,23
0.9579,916.8722222222223,53,50,179,0.29608938547486036,1.3087974211843405,9,38,179,0.05027932960893855,0.9946860401000988,Glass-7,23
0.96918,916.8722222222223,50,36,179,0.27932960893854747,0.9423341432527251,9,29,179,0.05027932960893855,0.7591025042869175,Glass-7,23
0.97743,916.8722222222223,43,25,179,0.24022346368715083,0.6543987105921703,8,23,179,0.0446927374301676,0.6020468137447966,Glass-7,23
0.98347,916.8722222222223,36,17,179,0.2011173184357542,0.44499112320267575,4,25,179,0.0223463687150838,0.6543987105921703,Glass-7,23
0.9879,916.8722222222223,32,10,179,0.1787709497206704,0.26175948423686807,3,21,179,0.01675977653631285,0.549694916897423,Glass-7,23
0.99114,916.8722222222223,30,8,179,0.16759776536312848,0.20940758738949447,3,16,179,0.01675977653631285,0.41881517477898894,Glass-7,23
0.99351,916.8722222222223,25,3,179,0.13966480446927373,0.07852784527106042,3,15,179,0.01675977653631285,0.39263922635530213,Glass-7,23
0.99525,916.8722222222223,25,3,179,0.13966480446927373,0.07852784527106042,3,15,179,0.01675977653631285,0.39263922635530213,Glass-7,23
0.99652,916.8722222222223,25,3,179,0.13966480446927373,0.07852784527106042,3,15,179,0.01675977653631285,0.39263922635530213,Glass-7,23
0.99745,916.8722222222223,18,3,179,0.1005586592178771,0.07852784527106042,3,8,179,0.01675977653631285,0.20940758738949447,Glass-7,23
0.99813,916.8722222222223,18,3,179,0.1005586592178771,0.07852784527106042,3,8,179,0.01675977653631285,0.20940758738949447,Glass-7,23
0.99863,916.8722222222223,18,3,179,0.1005586592178771,0.07852784527106042,3,8,179,0.01675977653631285,0.20940758738949447,Glass-7,23
0.999,916.8722222222223,18,3,179,0.1005586592178771,0.07852784527106042,3,8,179,0.01675977653631285,0.20940758738949447,Glass-7,23
0.0005,944.8744444444444,183,11222,183,1.0,285.04104601787185,182,17849,183,0.994535519125683,453.36817237328415,Best-4,23
0.00075,944.8744444444444,183,11222,183,1.0,285.04104601787185,182,17849,183,0.994535519125683,453.36817237328415,Best-4,23
0.00113,944.8744444444444,183,11222,183,1.0,285.04104601787185,182,17849,183,0.994535519125683,453.36817237328415,Best-4,23
0.00171,944.8744444444444,183,11222,183,1.0,285.04104601787185,182,17849,183,0.994535519125683,453.36817237328415,Best-4,23
0.00258,944.8744444444444,183,11222,183,1.0,285.04104601787185,182,17849,183,0.994535519125683,453.36817237328415,Best-4,23
0.00388,944.8744444444444,183,11291,183,1.0,286.79365982781957,180,18916,183,0.9836065573770492,480.47018592711316,Best-4,23
0.00585,944.8744444444444,183,11291,183,1.0,286.79365982781957,180,18916,183,0.9836065573770492,480.47018592711316,Best-4,23
0.00881,944.8744444444444,183,11260,183,1.0,286.0062536233503,180,19434,183,0.9836065573770492,493.62748960179306,Best-4,23
0.01327,944.8744444444444,183,11207,183,1.0,284.66004301570933,180,20017,183,0.9836065573770492,508.43580628584397,Best-4,23
0.02,944.8744444444444,183,11130,183,1.0,282.70422760460826,176,21198,183,0.9617486338797814,538.4334426561084,Best-4,23
0.05111,944.8744444444444,182,10783,183,0.994535519125683,273.8903581545814,150,18180,183,0.819672131147541,461.7756386210043,Best-4,23
0.08222,944.8744444444444,181,10329,183,0.9890710382513661,262.35866728912833,127,13825,183,0.6939890710382514,351.15776699314546,Best-4,23
0.11333,944.8744444444444,174,9464,183,0.9508196721311475,240.3874941644216,100,11454,183,0.546448087431694,290.9338924513192,Best-4,23
0.14444,944.8744444444444,163,8375,183,0.8907103825136612,212.72667620742087,86,9900,183,0.46994535519125685,251.46198142727957,Best-4,23
0.17556,944.8744444444444,152,7497,183,0.8306010928961749,190.4253004808399,77,8832,183,0.4207650273224044,224.3345676733064,Best-4,23
0.20667,944.8744444444444,142,6607,183,0.7759562841530054,167.8191223525289,72,8137,183,0.39344262295081966,206.68142857310846,Best-4,23
0.23778,944.8744444444444,135,5891,183,0.7377049180327869,149.63257904930344,66,7518,183,0.36065573770491804,190.95870468386747,Best-4,23
0.26889,944.8744444444444,125,5365,183,0.6830601092896175,136.2720737734702,61,6953,183,0.3333333333333333,176.60759160241162,Best-4,23
0.3,944.8744444444444,124,4891,183,0.6775956284153005,124.23237890513377,59,6502,183,0.3224043715846995,165.1521013373911,Best-4,23
0.37143,944.8744444444444,116,3981,183,0.6338797814207651,101.11819677393939,53,5285,183,0.2896174863387978,134.2400577619366,Best-4,23
0.44286,944.8744444444444,105,3390,183,0.5737704918032787,86.10667848873513,39,4172,183,0.21311475409836064,105.9696350014758,Best-4,23
0.51429,944.8744444444444,94,2849,183,0.5136612021857924,72.36517021073935,36,3333,183,0.19672131147540983,84.65886708051745,Best-4,23
0.58571,944.8744444444444,89,2366,183,0.48633879781420764,60.0968735411054,32,2838,183,0.17486338797814208,72.08576800915348,Best-4,23
0.65714,944.8744444444444,81,1889,183,0.4426229508196721,47.98097807233648,25,2478,183,0.1366120218579235,62.9416959572524,Best-4,23
0.72857,944.8744444444444,74,1492,183,0.40437158469945356,37.89709861510112,21,2227,183,0.11475409836065574,56.56624572106582,Best-4,23
0.8,944.8744444444444,64,1161,183,0.34972677595628415,29.489632367380967,20,2013,183,0.1092896174863388,51.13060289021352,Best-4,23
0.85355,944.8744444444444,59,904,183,0.3224043715846995,22.96178093032937,15,1619,183,0.08196721311475409,41.12292403341067,Best-4,23
0.89277,944.8744444444444,58,776,183,0.31693989071038253,19.710555311875652,14,1129,183,0.07650273224043716,28.676825962767538,Best-4,23
0.92148,944.8744444444444,51,682,183,0.2786885245901639,17.322936498323703,9,655,183,0.04918032786885246,16.637131094431123,Best-4,23
0.94251,944.8744444444444,49,623,183,0.2677595628415301,15.824324689817695,8,329,183,0.04371584699453552,8.356665847431817,Best-4,23
0.9579,944.8744444444444,42,532,183,0.22950819672131148,13.512906476698255,6,136,183,0.03278688524590164,3.454427219607073,Best-4,23
0.96918,944.8744444444444,39,428,183,0.21311475409836064,10.871285661704611,6,67,183,0.03278688524590164,1.701813409659367,Best-4,23
0.97743,944.8744444444444,32,257,183,0.17486338797814208,6.527851437051601,4,31,183,0.02185792349726776,0.7874062044692592,Best-4,23
0.98347,944.8744444444444,27,134,183,0.14754098360655737,3.403626819318734,3,16,183,0.01639344262295082,0.40640320230671445,Best-4,23
0.9879,944.8744444444444,26,93,183,0.14207650273224043,2.362218613407778,1,14,183,0.00546448087431694,0.35560280201837513,Best-4,23
0.99114,944.8744444444444,22,49,183,0.12021857923497267,1.244609807064313,1,10,183,0.00546448087431694,0.25400200144169655,Best-4,23
0.99351,944.8744444444444,16,29,183,0.08743169398907104,0.7366058041809199,1,5,183,0.00546448087431694,0.12700100072084827,Best-4,23
0.99525,944.8744444444444,16,29,183,0.08743169398907104,0.7366058041809199,1,5,183,0.00546448087431694,0.12700100072084827,Best-4,23
0.99652,944.8744444444444,16,29,183,0.08743169398907104,0.7366058041809199,1,5,183,0.00546448087431694,0.12700100072084827,Best-4,23
0.99745,944.8744444444444,12,11,183,0.06557377049180328,0.2794022015858662,0,6,183,0.0,0.15240120086501793,Best-4,23
0.99813,944.8744444444444,12,11,183,0.06557377049180328,0.2794022015858662,0,6,183,0.0,0.15240120086501793,Best-4,23
0.99863,944.8744444444444,12,11,183,0.06557377049180328,0.2794022015858662,0,6,183,0.0,0.15240120086501793,Best-4,23
0.999,944.8744444444444,12,11,183,0.06557377049180328,0.2794022015858662,0,6,183,0.0,0.15240120086501793,Best-4,23
0.0005,944.8744444444444,183,11134,183,1.0,282.8058284051849,182,15422,183,0.994535519125683,391.7218866233844,Glass-4,23
0.00075,944.8744444444444,183,11134,183,1.0,282.8058284051849,182,15422,183,0.994535519125683,391.7218866233844,Glass-4,23
0.00113,944.8744444444444,183,11134,183,1.0,282.8058284051849,182,15422,183,0.994535519125683,391.7218866233844,Glass-4,23
0.00171,944.8744444444444,183,11134,183,1.0,282.8058284051849,182,15422,183,0.994535519125683,391.7218866233844,Glass-4,23
0.00258,944.8744444444444,183,11134,183,1.0,282.8058284051849,182,15422,183,0.994535519125683,391.7218866233844,Glass-4,23
0.00388,944.8744444444444,183,11203,183,1.0,284.55844221513263,182,17247,183,0.994535519125683,438.077251886494,Glass-4,23
0.00585,944.8744444444444,183,11203,183,1.0,284.55844221513263,182,17247,183,0.994535519125683,438.077251886494,Glass-4,23
0.00881,944.8744444444444,183,11215,183,1.0,284.8632446168627,180,18332,183,0.9836065573770492,465.6364690429181,Glass-4,23
0.01327,944.8744444444444,183,11231,183,1.0,285.2696478191694,180,19408,183,0.9836065573770492,492.9670843980446,Glass-4,23
0.02,944.8744444444444,183,11219,183,1.0,284.96484541743934,177,21150,183,0.9672131147540983,537.2142330491882,Glass-4,23
0.05111,944.8744444444444,181,11083,183,0.9890710382513661,281.5104181978323,160,23107,183,0.8743169398907104,586.9224247313282,Glass-4,23
0.08222,944.8744444444444,180,10796,183,0.9836065573770492,274.2205607564556,134,18542,183,0.73224043715847,470.97051107319373,Glass-4,23
0.11333,944.8744444444444,177,10227,183,0.9672131147540983,259.76784687442307,110,14635,183,0.6010928961748634,371.7319291099229,Glass-4,23
0.14444,944.8744444444444,171,9374,183,0.9344262295081968,238.10147615144635,93,11971,183,0.5081967213114754,304.0657959258549,Glass-4,23
0.17556,944.8744444444444,163,8346,183,0.8907103825136612,211.99007040323994,82,10590,183,0.44808743169398907,268.98811952675663,Glass-4,23
0.20667,944.8744444444444,146,7315,183,0.7978142076502732,185.80246405460102,77,9162,183,0.4207650273224044,232.71663372088236,Glass-4,23
0.23778,944.8744444444444,135,6571,183,0.7377049180327869,166.9047151473388,69,7989,183,0.3770491803278688,202.92219895177138,Glass-4,23
0.26889,944.8744444444444,127,5919,183,0.6939890710382514,150.34378465334018,65,7104,183,0.3551912568306011,180.44302182418122,Glass-4,23
0.3,944.8744444444444,119,5357,183,0.6502732240437158,136.06887217231684,62,6272,183,0.33879781420765026,159.31005530423207,Glass-4,23
0.37143,944.8744444444444,108,4351,183,0.5901639344262295,110.51627082728217,48,5014,183,0.26229508196721313,127.35660352286665,Glass-4,23
0.44286,944.8744444444444,100,3634,183,0.546448087431694,92.30432732391252,41,4140,183,0.22404371584699453,105.15682859686237,Glass-4,23
0.51429,944.8744444444444,92,3020,183,0.5027322404371585,76.70860443539236,31,3426,183,0.16939890710382513,87.02108569392523,Glass-4,23
0.58571,944.8744444444444,86,2467,183,0.46994535519125685,62.66229375566654,28,2743,183,0.15300546448087432,69.67274899545735,Glass-4,23
0.65714,944.8744444444444,83,1968,183,0.453551912568306,49.98759388372588,23,1915,183,0.12568306010928962,48.64138327608489,Glass-4,23
0.72857,944.8744444444444,76,1461,183,0.41530054644808745,37.109692410631865,18,1110,183,0.09836065573770492,28.194222160028318,Glass-4,23
0.8,944.8744444444444,72,1035,183,0.39344262295081966,26.289207149215592,13,510,183,0.07103825136612021,12.954102073526524,Glass-4,23
0.85355,944.8744444444444,64,728,183,0.34972677595628415,18.49134570495551,9,194,183,0.04918032786885246,4.927638827968913,Glass-4,23
0.89277,944.8744444444444,58,512,183,0.31693989071038253,13.004902473814862,6,95,183,0.03278688524590164,2.413019013696117,Glass-4,23
0.92148,944.8744444444444,43,346,183,0.23497267759562843,8.7884692498827,5,61,183,0.0273224043715847,1.549412208794349,Glass-4,23
0.94251,944.8744444444444,34,217,183,0.18579234972677597,5.511843431284815,5,45,183,0.0273224043715847,1.1430090064876344,Glass-4,23
0.9579,944.8744444444444,24,131,183,0.13114754098360656,3.3274262188862247,3,41,183,0.01639344262295082,1.0414082059109557,Glass-4,23
0.96918,944.8744444444444,21,88,183,0.11475409836065574,2.2352176126869296,2,32,183,0.01092896174863388,0.8128064046134289,Glass-4,23
0.97743,944.8744444444444,18,52,183,0.09836065573770492,1.320810407496822,2,18,183,0.01092896174863388,0.45720360259505377,Glass-4,23
